,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
108,3E5V7AndgpNa5qyhQZsg9uvJhNeE8v4wTRjZ3d41CP86,RrS2hoDzSFNSa8QWckSzQwH2uQ3ASCUru9zEfVMr1iw,,,,,,
109,7UiACk8hdm1L6wDK2cF8S6XSRF4x8ZkBf1gxezFk9QGk,Etnm4bsbxqD39DAs4dNrnq8brJRVLxRgjCq87VxbaG1u,,,,,,
110,EVqbBRV6Zy1tPLRevxpAykp8Mvv6tDZVTc4RmCKw4Gq1,H1Z83zVoskNuBvYao1FjdLfETfhPpQFQUkniJfGxbaNz,0.0,3.0,3.76,0.0379247050522,0.14317758940729,99.14381653923724
111,EVqbBRV6Zy1tPLRevxpAykp8Mvv6tDZVTc4RmCKw4Gq1,H1Z83zVoskNuBvYao1FjdLfETfhPpQFQUkniJfGxbaNz,1.0,2.0,7.33,0.0017908498639,469.9180839660785,4093.0287612369625
112,HTiYXsvMDDK5WuGTWDC7hMTrLHURARP9dKB6QFMoju1s,6xkz1RZEpQDwLR8g3RQZXP6zVJthWtUu8J7HPY5wNsXE,,,,,,
113,9bmA11DX6j62DPGNXsa8nzTZ5J9pzTunZRqPQMMTUJHq,4BesyFm4caoonVnwcqds1an4CBDhGJDuwYqpcvNUWmXc,,,,,,
114,EycWjs562uVkhVBhKd6dKdXKpiW2HarykwUroY7aHNaU,4pwDawz4EVegn8zhA78LH35mGGWnUUc9sGUTXQMW4RGS,,,,,,
115,7fi1Mdu3XRj7rm3SUSzKbBhdnKUHirKAM4AXqH5JXyfB,4hu2wkp9y5u4hcfxYB638YrenDpkDxvVkMqpD5pAtULr,,,,,,
116,44Y47G3mXdEhk4AanTcFiQjnGmzQNHLcBgQP3DDF5mwR,QvV7iHadW7WFdgRbEpXseT21qpE6XAXn6qD2TKoGird,,,,,,
117,BrHyDBpGyW4tJDkJ7Yoxz8EpcuByy4THrCSYx1igQ59k,5F61YFpQzJUTjv7sy4dAVGUYszjTtzeH7SD3QQkhjMBr,0.0,1.0,138.01,-0.0027355157061,2632.5052533731487,50451.18172498435
118,Cbx3habjn25A5cYHJiUYJDGQwti8ftoaw1mEJ2hjgvy5,FpZUQdjug6oiZ7HGVzZpRpRRfwB9tibJmqLCziG17ePk,,,,,,
119,3dzZjVPigNN8CBbF4k9mBKbVVWsoSNC76RYZEiSjDY7T,3NFRJQxuxpv4hanxfPFahvuHa2cFABormeZ6khsnKAMw,,,,,,
120,2BDYraDRL6SekAjXy3rbGXCxmPt75gkEfhomEp9FzkUE,v8PjH3mAe252Zyh1iuPMigysGQZoZL1KncefGDw1ANx,0.0,0.0,37595.75,-412.1248672896376,4.96944372247036,91.22417253598543
121,2BDYraDRL6SekAjXy3rbGXCxmPt75gkEfhomEp9FzkUE,v8PjH3mAe252Zyh1iuPMigysGQZoZL1KncefGDw1ANx,1.0,4.0,25000.28,-290.6845210410775,1.08231986328547,86.00485471487191
122,2BDYraDRL6SekAjXy3rbGXCxmPt75gkEfhomEp9FzkUE,v8PjH3mAe252Zyh1iuPMigysGQZoZL1KncefGDw1ANx,2.0,8.0,5755.83,-311.9644396026081,0.96542355284177,18.45027595879835
123,2BDYraDRL6SekAjXy3rbGXCxmPt75gkEfhomEp9FzkUE,v8PjH3mAe252Zyh1iuPMigysGQZoZL1KncefGDw1ANx,3.0,3.0,65758.21,-710.4197286835017,-3.78169386511491,92.56247728629151
124,2BDYraDRL6SekAjXy3rbGXCxmPt75gkEfhomEp9FzkUE,v8PjH3mAe252Zyh1iuPMigysGQZoZL1KncefGDw1ANx,4.0,1.0,5871.74,-0.1405275072696,4977.751611903649,41783.56333280111
125,Gp7fJj3KvYfWNRkR9yQac1fXWXYE7KwZttqoh45ywwbo,J9Gogyo5i3tQWjPV1KSUyGxdLYdWhQdS62yFtxVbkTcC,0.0,0.0,10.18,0.1135266666666,14.96779787794163,89.6705619825531
126,pscjH4sPnNL6zQBmvHjEEbix6BTstnsrSwGysNWyPkd,8BTja7VnFPe6M9BHTqg5LTpX6vd4ugTeWLzpq3oFP8WM,,,,,,
